cj,gg,name,price,price2,price3,xq
河南中杰药业有限公司,20g*4袋,齿痛消炎灵颗粒, ￥8.65,,,效期：2022年03月
济南如意堂医药科技有限公司,7cm*10cm*3贴*2袋,关节冷敷贴(桂龙膏药), ￥9.7,,,效期：2021年08月
Boehringer Ingelheim pharma GmbH,1mg*30片,瑞格列奈片(诺和龙), ￥50.8,,,效期：2024年02月
参天制药(中国)有限公司,5ml:0.1%,玻璃酸钠滴眼液(爱丽), ￥22.5,,,效期：2022年03月
广西大海阳光药业有限公司,25mg*6片*1板/盒,盐酸地芬尼多片（糖衣片）, ￥2.8,,,效期：2021年10月
云鹏医药集团有限公司,20mg*30片,硝苯地平缓释片（II), ￥5.85,,,效期：2022年01月
浙江昂利康制药股份有限公司,10mg*48片,硝苯地平缓释片（I）(恒欣), ￥6.3,,,效期：2021年10月
颈复康药业集团有限公司,0.3g*20粒,腰痛宁胶囊, ￥17.8,,,效期：2023年01月
山西亨瑞达制药有限公司,50mg*100片,酚酞片(果导片), ￥6.05,,,效期：2022年11月
黑龙江葵花药业股份有限公司,3g*6袋,（只卖龙一连锁）小儿肺热咳喘颗粒, ￥12.2,,,效期：2022年10月
九寨沟天然药业股份有限公司委托四川逢春制药有限公司,15g*20包,复方板蓝根颗粒, ￥5.59,,,效期：2022年08月
云南白药集团股份有限公司,50g：60g,云南白药气雾剂, ￥28.27,,,效期：2023年02月
回音必集团安徽制药有限公司,180ml,半夏糖浆, ￥6.8,,,效期：2021年09月
河南省济源市济世药业有限公司,480丸,藿香正气丸, ￥14,,,效期：2023年10月
山西云鹏制药有限公司,25ug*100片,维生素B12片, ￥1.45,,,效期：2021年09月
海南制药厂有限公司,70mg*100片,葡萄糖酸锌片, ￥4.35,,,效期：2022年11月
华润三九（郴州）制药有限公司,15g*10袋,肾石通颗粒, ￥12.4,,,效期：2021年10月
广东众生药业股份有限公司,0.5g*30粒,复方血栓通胶囊, ￥20.7,,,效期：2021年12月
江西盖天灵药业有限公司,60ml,狐腋净抑菌喷剂, ￥8.5,,,效期：2022年04月
广州莱泰制药有限公司委托广东宝丹制药有限公司,5g*9袋/盒,猴耳环消炎颗粒, ￥13.69,,,效期：2021年10月
江西兴鹏实业有限公司,30ml/瓶/盒,宝宝紫草油, ￥4.8,,,效期：2022年04月
陕西天洋制药有限责任公司,15g*9袋,芪枣颗粒, ￥10,,,效期：2022年01月
长春海外制药集团有限公司,0.3g*10粒*2板,布洛芬缓释胶囊(今来芬布得), ￥4.7,,,效期：2021年12月
修正药业集团股份有限公司,16粒,维U颠茄铝胶囊II(斯达舒), ￥15.15,,,效期：2022年08月
江西水滴药业有限公司,30ml/瓶/盒,金银花抑菌喷剂(水一口腔抑菌喷剂), ￥4.6,,,效期：2022年04月
吉林道君药业股份有限公司,12片*3板,橘红片, ￥4.7,,,效期：2022年12月
长春大政药业科技有限公司,12片/板/盒,复方氨酚烷胺片, ￥2.1,,,效期：2021年10月
山西仁源堂药业有限公司,0.25g*36片,六经头痛片, ￥8.6,,,效期：2023年03月
深圳市佳泰药业股份有限公司,48粒,四季感冒胶囊, ￥8,,,效期：2021年11月
云南万裕药业有限公司,10g*8袋,感冒灵颗粒, ￥4.7,,,效期：2022年06月
山西汾河制药有限公司,25mg*100粒,吲哚美辛胶囊, ￥2.2,,,效期：2022年10月
云南白药集团无锡药业有限公司委托云南白药集团股份有限公司,6.5cm*10cm*5片,云南白药膏(打孔透气), ￥19.29,,,效期：2023年02月
修正药业集团股份有限公司,12片*3板,通窍鼻炎片, ￥4.1,,,效期：2021年12月
吉林省罗邦药业有限公司,10g*10袋,肺宁颗粒, ￥7.15,,,效期：2022年10月
西藏林芝宇拓藏药有限责任公司,0.25g*50丸/瓶/盒,清肺止咳丸, ￥17.5,,,效期：2022年11月
浙江鼎泰药业股份有限公司,7g,复方酮康唑软膏（来生元）, ￥2.12,,,效期：2022年02月
黑龙江省福乐康药业有限公司,14g:200揿,沙丁胺醇吸入气雾剂, ￥10.6,,,效期：2022年12月
AstraZeneca AB,320ug：9ug/吸 60吸,布地奈德福莫特罗粉吸入剂(信必可都保), ￥300,,,效期：2021年10月
江苏吴中医药集团有限公司苏州制药厂,0.4g*10ml*6支,匹多莫德口服溶液(芙露饮), ￥26.5,,,效期：2021年11月
江西神和生物科技有限公司,15g/支/盒,老偏方抑菌乳膏(御夫王), ￥4.5,,,效期：2022年03月
广州诺金制药有限公司,20片/板*2板/盒,复方感冒灵片, ￥3.6,,,效期：2021年12月
河南省济源市济世药业有限公司,480丸,补中益气丸(浓缩丸), ￥14,,,效期：2024年12月
浙江京新药业股份有限公司,0.25g*12片,阿奇霉素片, ￥4.23,,,效期：2021年09月
上海中华药业南通有限公司,10g（包装18.4g）,清凉油, ￥6.05,,,效期：2022年06月
鲁南厚普制药有限公司,10ml*10支,小儿消积止咳口服液, ￥36.15,,,效期：2022年04月
江西兴鹏实业有限公司,20g/支（铁盒）,脚气灵(兴鹏牌植物草本抑菌膏), ￥4.8,,,效期：2022年04月
桂林三金药业股份有限公司,0.6g*36片/盒,西瓜霜润喉片, ￥5.19,,,效期：2022年11月
广东新峰药业股份有限公司,10g*9袋,感冒灵颗粒, ￥4.95,,,效期：2022年04月
云鹏医药集团有限公司（原山西云鹏制药有限公司）,5mg*100片,硝酸异山梨酯片(消心痛片), ￥2.29,,,效期：2021年12月
云南白药集团无锡药业有限公司委托江苏南方卫材医药股份有限公司,100片,云南白药创可贴, ￥15.19,,,效期：2023年01月
贵州恒和制药有限公司,0.25g*36粒,枇杷止咳胶囊(克立亭), ￥8.05,,,效期：2022年09月
广州诺金制药有限公司,15g*10袋/盒,山楂麦曲颗粒, ￥9.2,,,效期：2021年10月
河南省济源市济世药业有限公司,360丸,补中益气丸, ￥10.2,,,效期：2024年10月
江西京通美联药业有限公司,0.25g*100片,抗宫炎片, ￥3.3,,,效期：2021年04月
吉林金宝药业股份有限公司,0.35g*12片*4板,（不让挂网）消炎止咳片, ￥5.1,,,效期：2022年05月
沈阳管城制药有限责任公司,21片,罗红霉素分散片, ￥6.6,,,效期：2021年11月
江西济民可信金水宝制药有限公司,0.33g*9粒*6板,F金水宝胶囊, ￥35.5,,,效期：2022年07月
浙江中法制药有限公司,200ml,复方苦参洗剂（带冲）, ￥11.5,,,效期：2022年02月
广西纯正堂制药有限公司,5g*10袋,愈酚喷托异丙嗪颗粒(伤风止咳颗粒), ￥3.5,,,效期：2021年05月
四川金药师制药有限公司,10g*20袋,夏桑菊颗粒, ￥5.05,,,效期：2022年03月
哈药集团三精明水药业有限公司,4mg*30片,拉西地平片(司乐平), ￥30.8,,,效期：2022年02月
江中药业股份有限公司,0.2g*36片,乳酸菌素片(小儿), ￥6.79,,,效期：2021年08月
华润双鹤利民药业（济南）有限公司,0.1g*12片/盒,F胞磷胆碱钠片, ￥12.55,,,效期：2021年12月
湖北太子药业有限公司,10ml*10支,蛇胆川贝液, ￥6.3,,,效期：2021年05月
成都地奥制药集团有限公司,0.1g*10粒*2板,地奥心血康胶囊, ￥10.99,,,效期：2022年01月
哈药集团三精制药有限公司,10ml*12支/盒,复方葡萄糖酸钙口服溶液, ￥20.5,,,效期：2022年02月
重庆赛维药业有限公司,40mg*14片/盒,替米沙坦片, ￥5.03,,,效期：2022年08月
四川高原明珠制药有限公司,100片,舒筋活血片, ￥4.5,,,效期：2020年12月
山西华元医药生物技术有限公司,0.4g*15粒*2板/盒,田七痛经胶囊, ￥4.4,,,效期：2022年09月
山西华元医药生物技术有限公司,0.25g*14片*2板/盒,清咽片, ￥5.4,,,效期：2021年03月
辽宁华瑞联合制药有限公司,0.125g*9袋,头孢拉定颗粒, ￥2.4,,,效期：2021年10月
北京天衡药物研究院南阳天衡制药厂,5mg*6片,盐酸左西替利嗪片, ￥3.8,,,效期：2021年12月
武汉太福制药有限公司,200丸,鼻渊丸, ￥12.2,,,效期：2022年08月
台州南峰药业有限公司,5g*6袋,枣仁安神颗粒, ￥15.2,,,效期：2021年10月
海南日中天制药有限公司,0.1g*7片,头孢地尼分散片, ￥12.1,,,效期：2021年11月
安徽省先锋制药有限公司,0.45g*12粒/板*3板/盒,固本咳喘胶囊, ￥6.6,,,效期：2021年09月
湖北午时药业股份有限公司,340ml,金银花露（含糖型）, ￥5.2,,,效期：2021年12月
茂祥集团吉林制药有限公司,0.5g*10粒*2板/盒,感冒清胶囊, ￥2.55,,,效期：2022年11月
阿斯利康制药有限公司,47.5mg*7片/盒,琥珀酸美托洛尔缓释片(倍他乐克), ￥14.2,,,效期：2022年04月
远大医药（中国）有限公司,100片,去痛片, ￥7.39,,,效期：2022年02月
长春迪瑞制药有限公司,5ml：0.3%,盐酸左氧氟沙星滴眼液, ￥1.85,,,效期：2022年01月
吉林双星药业有限公司,12片/板*4板/盒,维肝福泰片, ￥17.5,,,效期：2022年05月
回音必集团安徽制药有限公司,240丸/瓶/盒,六味地黄丸(玺福康), ￥5.3,,,效期：2022年07月
山西华康药业股份有限公司,6g*10袋,脾肾两助丸, ￥24.5,,,效期：2022年04月
昆明中药厂有限公司,36丸,止咳丸, ￥9.5,,,效期：2024年10月
湖南富兴飞鸽药业有限公司,2.5g*12袋,小儿麻甘颗粒, ￥4.3,,,效期：2022年01月
匈牙利吉瑞大药厂,2.5mg*30片,甲磺酸溴隐亭片(佰莫亭), ￥88.9,,,效期：2022年04月
山西汾河制药有限公司,20mg*100片/瓶,磷酸苯丙哌林片, ￥2.7,,,效期：2021年12月
四川海思科制药有限公司,0.5mg*7粒,F恩替卡韦胶囊, ￥12.15,,,效期：2021年10月
回音必集团安徽制药有限公司委托安庆回音必制药股份有限公司,180ml/瓶/盒,川贝清肺糖浆, ￥12.1,,,效期：2021年12月
福寿堂制药有限公司,180ml,麻杏止咳糖浆, ￥7.8,,,效期：2021年10月
卫材（辽宁）制药有限公司,60mg*10片/板*2板/盒,洛索洛芬钠片(安普洛), ￥11,,,效期：2022年02月
西安康华药业有限公司,2板*5片,复方氯己定地塞米松膜, ￥4.8,,,效期：2022年10月
黑龙江中桂制药有限公司,10ml*15支,盐酸倍他司汀口服液(西其汀), ￥15.6,,,效期：2022年01月
柳州市中兴日用化工厂,12ml,甲正王除臭液, ￥3.59,,,效期：2022年07月
四川逢春制药有限公司,100ml,十滴水, ￥3.1,,,效期：2022年11月
柳州两面针股份有限公司,170克,两面针中药卓效清新牙膏（清沁桂花香型）, ￥11.7,,,效期：2023年03月
广州双一乳胶制品有限公司,12只,天然胶乳橡胶避孕套（多乐士精品激情）, ￥15,,,效期：2024年10月
贵州君之堂制药有限公司,5g*10袋/盒,小儿氨酚黄那敏颗粒, ￥8,,,效期：2020年12月
四川川大华西药业股份有限公司,2g*9袋,通窍鼻炎颗粒, ￥6.6,,,效期：2021年10月
回音必集团安徽制药有限公司,4g*16袋,银黄颗粒, ￥9.2,,,效期：2021年12月
广西邦琪药业集团有限公司,5g*10袋/盒,愈酚喷托异丙嗪颗粒, ￥3.3,,,效期：2021年11月
北京天衡药物研究院南阳天衡制药厂,15mg*12片*3板,氢溴酸右美沙芬片, ￥8.5,,,效期：2021年11月
吉林省华侨药业集团有限公司,15片*2板,化痰平喘片, ￥2.9,,,效期：2022年08月
吉林省华侨药业集团有限公司,9克/袋*9袋/盒,肤痒颗粒, ￥5.99,,,效期：2023年02月
德州德药制药有限公司,0.1g*18片,咖啡酸片, ￥32.5,,,效期：2021年11月
石药集团欧意药业有限公司,2.5mg*14片,马来酸左氨氯地平片(玄宁), ￥27.5,,,效期：2025年01月
吉林春柏药业股份有限公司,0.35g*12粒*3板,消咳喘胶囊, ￥6.6,,,效期：2021年12月
长春长庆药业集团有限公司,5ml*1支 （10盒）,熊胆粉滴眼液, ￥6.4,,,效期：2022年01月
四川光大制药有限公司,4g*10袋,抗病毒颗粒（无糖型）, ￥14.5,,,效期：2022年01月
哈药集团三精制药有限公司,10ml*12支,葡萄糖酸锌口服液, ￥20.5,,,效期：2022年02月
高安市富源堂医药科技有限公司,5贴/盒,暖身贴（暖宝宝）增强型(宝源堂), ￥5.5,,,效期：2022年11月
辽宁华瑞联合制药有限公司,50mg*9袋,罗红霉素颗粒, ￥2.2,,,效期：2022年01月
贵州威门药业股份有限公司,4g*12袋（无蔗糖）,川芎茶调颗粒, ￥16.5,,,效期：2022年02月
贵州联盛药业有限公司,2.5mgx10片/板x2板/盒,苯磺酸左旋氨氯地平片(福斯多), ￥13,,,效期：2022年06月
陕西华西制药股份有限公司,6g*9袋/盒,小儿清咽颗粒, ￥8,,,效期：2021年08月
天津华津制药有限公司,100mg*6片,头孢地尼分散片(兴易比可), ￥9.3,,,效期：2021年10月
山西省吕梁中药厂,5g*9袋,感冒解毒灵颗粒, ￥8.3,,,效期：2022年09月
南昌市飞弘药业有限公司,0.1g*10片,尼美舒利分散片, ￥4,,,效期：2021年12月
芜湖绿叶制药有限公司,0.3g*20粒/盒,益脑胶囊, ￥11.5,,,效期：2022年09月
国药集团武汉中联四药药业有限公司,40g*3袋,足光散, ￥4,,,效期：2021年10月
四川升和药业股份有限公司,9g*10袋,肤痒颗粒, ￥6.2,,,效期：2022年02月
北京益民药业有限公司,0.5mg*100片,硝酸甘油片, ￥27.5,,,效期：2022年10月
广州诺金制药有限公司,0.29g*45粒/盒,乳癖康胶囊, ￥9.2,,,效期：2022年04月
河北长天药业有限公司,10g*50袋,复方氨酚那敏颗粒(速冲), ￥13.5,,,效期：2021年10月
四川百利药业有限责任公司,50mg*18袋,利巴韦林颗粒(新博林), ￥4,,,效期：2021年11月
柳州两面针股份有限公司,105g,两面针中药御方姜盐牙膏（姜爽盐清香型）, ￥12.4,,,效期：2023年03月
山西华元医药生物技术有限公司,0.5g*15粒*2板/盒,大败毒胶囊, ￥6.4,,,效期：2021年11月
昆明中药厂有限公司,24片,感冒疏风片, ￥8.8,,,效期：2022年07月
浙江震元制药有限公司,4mg*12片,氯诺昔康片, ￥7.3,,,效期：2022年01月
河南省济源市济世药业有限公司,360丸/瓶/盒,明目地黄丸(浓缩丸), ￥10.2,,,效期：2024年09月
山西汾河制药有限公司,2.5mg*100片,格列本脲片(优降糖), ￥0.84,,,效期：2022年09月
江西鑫源欣实业有限公司,20ml*6支/盒,50%葡萄糖饮品, ￥4.3,,,效期：2022年03月
北京澳特舒尔保健品开发有限公司出品,62.5g(2.5g*20袋+12.5g),碧生源常润茶, ￥67,,,效期：2021年08月
浙江英格莱制药有限公司,80mg*12.5mg*7片,缬沙坦氢氯噻嗪片, ￥6.4,,,效期：2022年01月
四川省旺林堂药业有限公司, 0.3g*12粒（10盒） ,藿香正气胶囊（基）, ￥1.49,,,效期：2021年10月
四川大千药业有限公司,15g*20袋,荆防颗粒, ￥7.9,,,效期：2021年12月
广西玉林制药集团有限责任公司,12ml,正骨水, ￥7.8,,,效期：2022年02月
吉林道君药业股份有限公司,18片*2板,野马追片, ￥11.7,,,效期：2022年01月
九寨沟天然药业股份有限公司委托四川逢春制药有限公司,10g*20袋,玄麦甘桔颗粒, ￥6.1,,,效期：2022年06月
四川逢春制药有限公司,10g*20袋,小柴胡颗粒, ￥6.3,,,效期：2021年10月
江西兴鹏实业有限公司,8g/条*20条/盒,果蔬多维清清宝, ￥6.8,,,效期：2022年03月
浙江医药股份有限公司新昌制药厂,0.1g*12粒,黄体酮软胶囊, ￥17.7,,,效期：2022年12月
合肥今越制药有限公司,0.4g*10片/板*2板/盒,活血止痛片, ￥3.5,,,效期：2021年02月
江西心正药业有限责任公司,100ml/瓶/盒,感冒止咳糖浆, ￥3.3,,,效期：2021年03月
安徽安科恒益药业有限公司,0.25g*12粒*3板/盒,阿莫西林胶囊(玺福康), ￥5.6,,,效期：2022年06月
伊春金北药制药有限公司,0.3g*24片（薄膜衣）,咽炎片, ￥1.68,,,效期：2021年10月
通化东宝药业股份有限公司,0.3g*60粒,镇脑宁胶囊, ￥17.1,,,效期：2022年06月
黑龙江省中医研究院制药厂,5g*12袋,感冒解毒颗粒, ￥7.3,,,效期：2023年01月
第一三共制药（上海）有限公司,60mg*20片/盒,洛索洛芬钠片(乐松), ￥21.8,,,效期：2022年09月
上海玉瑞生物科技（安阳）药业有限公司,25mg*100片,枸橼酸喷托维林片(咳必清片), ￥4.58,,,效期：2022年08月
四川依科制药有限公司,10粒*200板,氨咖黄敏胶囊(速效感冒胶囊), ￥0.53,,,效期：2021年09月
广西宝瑞坦制药有限公司,10g*18袋,复方罗汉果止咳颗粒, ￥5,,,效期：2021年11月
江苏晨牌邦德药业有限公司,80ml,复方酮康唑发用洗剂, ￥9.66,,,效期：2022年04月
云鹏医药集团有限公司（原山西云鹏制药有限公司）,10mg*100片,呋喃唑酮片, ￥1.68,,,效期：2022年04月
哈药集团三精制药有限公司,10ml*10支,双黄连口服液, ￥14.5,,,效期：2022年01月
广西康华药业有限责任公司,1.2g/粒*7粒/盒,止带消糜栓(花红), ￥11.7,,,效期：2021年04月
黑龙江乌苏里江制药有限公司哈尔滨分公司,0.32g*15片*2板/盒（薄膜衣）,复方羊角片, ￥3.8,,,效期：2021年10月
大连天山药业有限公司,0.34g*20片/板*2板/盒（薄膜衣）,桂龙咳喘宁片, ￥7.3,,,效期：2022年12月
大理白族自治州中药制药有限公司,15片*2板,清肺抑火片, ￥3.6,,,效期：2022年12月
陕西东泰制药有限公司,0.45g*12粒/板/盒,泌尿宁胶囊, ￥6.8,,,效期：2022年01月
四川巴中普瑞制药有限公司,5mg*30片,马来酸氨氯地平片(普罗新希), ￥17.4,,,效期：2021年09月
东北制药集团沈阳第一制药有限公司,0.1g*100片,盐酸小檗碱片, ￥11.5,,,效期：2021年11月
济川药业集团有限公司,10ml*12支,蒲地蓝消炎口服液, ￥38,,,效期：2021年07月
浙江仙琚制药股份有限公司,50mg*20片,黄体酮胶囊(益玛欣), ￥24,,,效期：2022年10月
吉林省集安益盛药业股份有限公司,0.25g*8粒*3板,振源胶囊, ￥26,,,效期：2023年02月
四川逢春制药有限公司,100ml,小儿止咳糖浆, ￥2.8,,,效期：2021年05月
四川光大制药有限公司,3g*10袋,口炎颗粒, ￥13,,,效期：2022年04月
广东恒诚制药股份有限公司,0.22g（素片）*36片/盒,感冒清片（薄膜衣）, ￥4.6,,,效期：2022年08月
山西华元医药生物技术有限公司,5mg*14片*2板,苯磺酸氨氯地平片, ￥5.2,,,效期：2022年01月
沈阳管城制药有限责任公司,0.25g*8片/盒,阿奇霉素分散片, ￥4.5,,,效期：2021年12月
江西兴鹏实业有限公司,20g/支/盒（铁盒）,烧烫伤膏(草本抑菌膏), ￥4.8,,,效期：2022年04月
山西振东安特生物制药有限公司,0.1g*10粒*2板/盒,马来酸曲美布汀胶囊, ￥11.7,,,效期：2022年06月
江西盛翔制药有限公司,100ml/瓶/盒,强力枇杷露, ￥6.3,,,效期：2021年03月
吉林省长恒药业有限公司,0.36g*24片/盒,麻杏止咳片, ￥2.1,,,效期：2022年10月
山东良福制药有限公司,15g,复方倍氯米松樟脑乳膏, ￥5,,,效期：2021年09月
上海青平药业有限公司,120片,复方氢氧化铝片, ￥5.35,,,效期：2023年02月
成都青山利康药业有限公司,5ml,羟糖甘滴眼液, ￥8.3,,,效期：2022年04月
成都第一制药有限公司.,4g*10袋/盒,银黄颗粒, ￥7.49,,,效期：2021年05月
海南普利制药股份有限公司,0.1g*6袋,阿奇霉素干混悬剂, ￥4.1,,,效期：2021年09月
黑龙江天龙药业有限公司,30g,老鹳草软膏, ￥5.8,,,效期：2021年09月
四川森科制药有限公司（原成都森科制药有限公司）,5g*50袋,愈酚喷托异丙嗪颗粒(伤风止咳颗粒), ￥12,,,效期：2021年05月
成都地奥集团天府药业股份有限公司,0.1g*20片/板*2板/盒,地榆升白片, ￥23.7,,,效期：2021年05月
哈尔滨市龙生北药生物工程股份有限公司,5ml*8支,盐酸氨溴索口服溶液（儿童）, ￥6,,,效期：2021年07月
国药集团致君（深圳）制药有限公司,0.125g*12粒,头孢呋辛酯胶囊(达力新), ￥4.39,,,效期：2022年10月
华润紫竹药业有限公司,0.75mg*2片,左炔诺孕酮片(毓婷), ￥9,,,效期：2024年11月
,,,,,,
河南省济源市济世药业有限公司,360丸/瓶/盒,保和丸(浓缩丸), ￥10.2,,,效期：2024年06月
江苏万禾制药有限公司,15g,氧氟沙星凝胶, ￥4.6,,,效期：2021年10月
黑龙江天龙药业有限公司,5粒,复方小儿退热栓, ￥3.3,,,效期：2021年09月
佛山冰加退热贴有限公司（原佛山兵兵退热贴有限公司）,120mm*50mm*1片/袋*4袋,医用退热贴（护脑型）, ￥8,,,效期：2022年11月
西安博爱制药有限责任公司,4g*10袋/*盒,银黄颗粒, ￥3.1,,,效期：2022年02月
亚宝药业集团股份有限公司,1g*15片/支,维生素C泡腾片, ￥18.3,,,效期：2022年02月
广西圣特药业有限公司,15g*20袋,复方板蓝根颗粒, ￥5.8,,,效期：2022年03月
扬州一洋制药有限公司,15ml：1.5g*15袋/盒,铝镁加混悬液, ￥26.8,,,效期：2023年01月
乐泰药业有限公司（哈尔滨乐泰药业有限公司）,3ml*2瓶,复方聚维酮碘搽剂(亮甲), ￥64,,,效期：2022年01月
四川依科制药有限公司,10粒,复方氨酚烷胺胶囊, ￥2,,,效期：2021年12月
承德燕峰药业有限责任公司,8g*10袋,复方羊角颗粒, ￥5,,,效期：2022年10月
参天制药(中国)有限公司,5ml:24.4mg,左氧氟沙星滴眼液(可乐必妥), ￥27.9,,,效期：2022年03月
山西太原药业有限公司,100片,去痛片, ￥7.9,,,效期：2021年12月
沈阳奥吉娜药业有限公司,100mg*24片,阿司匹林肠溶片, ￥4.2,,,效期：2022年12月
,,,,,,
江西兴鹏实业有限公司,1kg/听,钙铁锌蛋白粉, ￥35,,,效期：2021年12月
济宁光明制药有限公司,（8ml：24mg）8ml/瓶/盒,诺氟沙星滴眼液, ￥1.9,,,效期：2021年01月
湖南富兴飞鸽药业有限公司,12片,复方岩白菜素片, ￥3.2,,,效期：2022年10月
