cj,gg,name,price,price2,price3,xq
国药控股星鲨制药（厦门）有限公司,100粒,维生素AD软胶囊(浓), ￥8.8,,,效期：2021年09月
拜耳医药保健有限公司,30mg*7片,硝苯地平控释片(拜新同), ￥38.5,,,效期：2022年12月
四川光大制药有限公司,4g*10袋,抗病毒颗粒（无糖型）, ￥16,,,效期：2022年01月
四川森科制药有限公司（原成都森科制药有限公司）,30mg*100片,复方黄连素片, ￥6.8,,,效期：2021年11月
天津金耀药业有限公司,15g：15mg/支/盒,丁酸氢化可的松乳膏(尤卓尔), ￥10.6,,,效期：2021年09月
天津中新药业集团股份有限公司第六中药厂,180丸,速效救心丸, ￥38.5,,,效期：2022年03月
云南白药集团股份有限公司,85g:30g,云南白药气雾剂, ￥28,,,效期：2022年10月
陕西步长制药有限公司,0.4g*18粒*2板,脑心通胶囊(步长), ￥25,,,效期：2021年10月
广西玉林制药集团有限责任公司,0.5g*30粒,湿毒清胶囊, ￥19.3,,,效期：2022年05月
九寨沟天然药业股份有限公司,7cm*10cm*10贴/盒,麝香壮骨膏, ￥3.2,,,效期：2022年06月
海南皇隆制药股份有限公司,80mg*7片,缬沙坦分散片(皇隆达乐), ￥7.3,,,效期：2021年11月
湖北远大天天明制药有限公司,15ml:0.8mg,吡诺克辛钠滴眼液(白内停), ￥10.2,,,效期：2021年12月
贵州百灵企业集团制药股份有限公司,0.3g*100片,陈香露白露片, ￥4.8,,,效期：2021年09月
昆明赛诺制药股份有限公司,50ml*2瓶  （带喷头）,康复新液, ￥16.5,,,效期：2022年08月
华润双鹤药业股份有限公司,30片/盒,复方利血平氨苯蝶啶片(降压0号), ￥34.6,,,效期：2022年02月
山东鲁抗医药股份有限公司,0.25g*12片*2板,头孢拉定胶囊(康良), ￥3.19,,,效期：2021年08月
拜耳医药保健有限公司广州分公司,1mg*21片,戊酸雌二醇片(补佳乐), ￥27.6,,,效期：2024年05月
北京天衡药物研究院南阳天衡制药厂,5mg*6片,盐酸左西替利嗪片, ￥3.65,,,效期：2021年12月
广州诺金制药有限公司,7g*10袋,小儿七星茶颗粒, ￥6,,,效期：2021年11月
辉瑞制药有限公司,20mg*7片,阿托伐他汀钙片(立普妥), ￥42.5,,,效期：2022年05月
惠氏制药有限公司,600mg*60片,碳酸钙D3片(钙尔奇D), ￥53.8,,,效期：2023年02月
哈药集团制药总厂,0.25g*50粒,阿莫西林胶囊, ￥5.4,,,效期：2022年10月
上海新亚药业闵行有限公司,5mg*16片,马来酸依那普利片, ￥2.65,,,效期：2021年04月
山东广育堂国药有限公司,3g,冰硼散, ￥2.1,,,效期：2021年11月
江西铜鼓仁和制药有限公司,10袋,小儿氨酚烷胺颗粒(优卡丹), ￥6.3,,,效期：2022年03月
河南省济源市济世药业有限公司,480丸,杞菊地黄丸(浓缩丸), ￥14.2,,,效期：2023年12月
北京同仁堂制药有限公司,200丸,皮肤病血毒丸, ￥16.5,,,效期：2023年02月
新乡市常乐制药有限责任公司,100片,醋酸地塞米松片, ￥1,,,效期：2022年10月
成都锦华药业有限责任公司,0.1g*100片,盐酸小檗碱片(盐酸黄连素片), ￥10.8,,,效期：2022年04月
辉瑞制药有限公司,10mg*7片,阿托伐他汀钙片(立普妥), ￥24.5,,,效期：2022年04月
广州白云山医药集团股份有限公司广州白云山制药总厂,100片,咳特灵片(一力), ￥7.8,,,效期：2021年11月
云南白药集团股份有限公司,0.25g*32粒,云南白药胶囊, ￥32.4,,,效期：2022年12月
恩威（江西）制药有限公司委托四川恩威制药有限公司,10ml/支*6支/盒（玻璃瓶）,藿香正气合剂, ￥4.1,,,效期：2022年01月
济南康友消毒用品厂,0.2g*24片,高锰酸钾消毒片, ￥1.6,,,效期：2022年02月
广西正堂药业有限责任公司,24片,精制银翘解毒片, ￥1.65,,,效期：2021年10月
赤峰赛林泰药业有限公司,100片,复方乙酰水杨酸片(APC), ￥4.9,,,效期：2024年11月
河北金兴制药有限公司,0.25g*100片,复方鸡内金片, ￥1.4,,,效期：2022年10月
杭州默沙东制药有限公司,5mg*5片,孟鲁司特钠咀嚼片(顺尔宁), ￥30,,,效期：2021年10月
成都倍特药业有限公司,50mg*12袋,头孢克肟颗粒, ￥5.3,,,效期：2022年09月
四川光大制药有限公司,9g*8袋,抗病毒颗粒, ￥13.5,,,效期：2022年01月
上海新亚药业闵行有限公司,10mg*16片,马来酸依那普利片, ￥5.1,,,效期：2021年06月
成都迪康药业股份有限公司,20mg*7片,雷贝拉唑钠肠溶片(安斯菲), ￥34,,,效期：2021年09月
福建太平洋制药有限公司,9.2ml,风油精, ￥4.7,,,效期：2023年02月
北京华素制药股份有限公司,5mg*18片,富马酸比索洛尔片(博苏), ￥19,,,效期：2022年04月
黑龙江葵花药业股份有限公司,0.4g*24粒,胃康灵胶囊, ￥15.8,,,效期：2022年09月
广西济民制药有限公司,10g*9袋,感冒灵颗粒, ￥4.9,,,效期：2022年01月
健民集团叶开泰国药（随州）有限公司,40g*3袋,足光散, ￥5.4,,,效期：2022年02月
浙江医药股份有限公司新昌制药厂,10片*3板,米格列醇片, ￥29,,,效期：2022年03月
广东一力集团制药股份有限公司,0.23g*100片,复方感冒灵片, ￥4.6,,,效期：2021年12月
海南先声药业有限公司,0.125g*24袋,阿莫西林颗粒(再林), ￥13.99,,,效期：2021年12月
北京中惠药业有限公司,0.25g*48片,盐酸二甲双胍片, ￥3,,,效期：2021年12月
施慧达药业集团（吉林）有限公司,2.5mg*7片/板*2板/盒,苯磺酸左氨氯地平片(施慧达), ￥26,,,效期：2023年03月
吉林省华侨药业集团有限公司,15片*2板,化痰平喘片, ￥2.8,,,效期：2022年08月
成都迪康药业股份有限公司,2g*9袋,通窍鼻炎颗粒, ￥13,,,效期：2022年01月
桂林南药股份有限公司,0.2g*12片/盒,交沙霉素片, ￥11.6,,,效期：2022年06月
华润紫竹药业有限公司,6片,左炔诺孕酮炔雌醚片(悦可婷), ￥12.8,,,效期：2025年01月
江苏正大清江制药有限公司,0.75g*6片*2板,盐酸氨基葡萄糖片(九力), ￥18,,,效期：2021年07月
山西太原药业有限公司,100片,去痛片, ￥7.5,,,效期：2021年12月
国药集团致君（深圳）制药有限公司,0.1g*6粒,头孢克肟胶囊(达力芬), ￥4.4,,,效期：2022年02月
深圳市佳泰药业股份有限公司,48粒,四季感冒胶囊, ￥8,,,效期：2021年11月
天方药业有限公司,0.5g*24片,盐酸二甲双胍缓释片(麦克罗辛), ￥5.1,,,效期：2022年03月
丽珠集团丽珠制药厂,1.0g*28包,枸橼酸铋钾颗粒(丽珠得乐), ￥16.6,,,效期：2022年09月
中美上海施贵宝制药有限公司,0.5g*10片*2板,盐酸二甲双胍片(格华止), ￥25,,,效期：2022年12月
云鹏医药集团有限公司（原山西云鹏制药有限公司）,10mg*100片,呋喃唑酮片, ￥1.85,,,效期：2022年04月
汕头市美宝制药有限公司,40g,湿润烧伤膏(美宝), ￥67,,,效期：2022年07月
双鹤药业（海南）有限责任公司,10mg*14片,雷贝拉唑钠肠溶片, ￥27,,,效期：2021年07月
广州白云山光华制药股份有限公司委托广州白云山医药集团股份有限公司白云山制药总厂,0.5g*30粒,脑络通胶囊, ￥13.3,,,效期：2022年01月
博福一益普生（天津）制药有限公司,3g*10袋/盒,F蒙脱石散, ￥20.5,,,效期：2023年05月
云南白药集团股份有限公司委托云南白药集团大理药业有限责任公司,0.25g*100片,土霉素片, ￥5,,,效期：2022年02月
河南中杰药业有限公司,10g*4袋,齿痛消炎灵颗粒(无糖), ￥7.6,,,效期：2022年01月
九寨沟天然药业股份有限公司,10g*20小袋,小柴胡颗粒, ￥7,,,效期：2022年05月
山西省吕梁中药厂,5g*9袋,感冒解毒灵颗粒, ￥8.2,,,效期：2022年09月
黑龙江天辰药业有限公司,10g,阿昔洛韦凝胶, ￥3.15,,,效期：2021年10月
深圳市泰康制药有限公司,0.45g*12粒,丁细牙痛胶囊, ￥10.8,,,效期：2022年02月
江西铜鼓仁和制药有限公司,10粒,复方氨酚烷胺胶囊(仁和可立克), ￥6.1,,,效期：2021年11月
吉林天瑞生物科技有限公司,20ml*5支 （聚丙烯易折瓶）,葡萄糖饮品50%, ￥4.2,,,效期：2021年05月
洛阳天生药业有限责任公司,12粒*3板,夏天无胶囊, ￥6,,,效期：2022年03月
江苏苏中药业集团股份有限公司,5mg*8袋,氯雷他定颗粒(小希适敏), ￥6.4,,,效期：2022年02月
天方药业有限公司,10mg*7粒,阿托伐他汀钙胶囊(尤佳), ￥16,,,效期：2023年02月
Bayer Weimar GmbH & Co.KG,21片,炔雌醇环丙孕酮片(达英35), ￥51,,,效期：2024年08月
浙江得恩德制药股份有限公司,50mg*24粒,胶体果胶铋胶囊, ￥3.45,,,效期：2021年10月
广州诺金制药有限公司,0.4g*30片/盒,百合固金片, ￥9.6,,,效期：2022年04月
湖南华纳大药厂股份有限公司,50mg*36粒,胶体果胶铋胶囊, ￥6,,,效期：2022年12月
贵阳济仁堂药业有限公司,15粒*3板,复方石韦胶囊, ￥6.7,,,效期：2021年11月
浙江鼎泰药业股份有限公司,5ml,复方酮康唑发用洗剂, ￥0.9,,,效期：2022年02月
广东新峰药业股份有限公司,60片,鼻舒适片(糖衣片), ￥2.65,,,效期：2022年09月
黑龙江天龙药业有限公司,55ml,复方酮康唑发用洗剂, ￥8.6,,,效期：2021年11月
成都九芝堂金鼎药业有限公司,20g*3袋,足光散, ￥4,,,效期：2021年12月
国药集团同济堂（贵州）制药有限公司,0.3g*60片,仙灵骨葆片, ￥25,,,效期：2021年08月
广东人人康药业有限公司,10mg*15片,多潘立酮口腔崩解片, ￥5.4,,,效期：2021年10月
广州诺金制药有限公司,0.29g*45粒/盒,乳癖康胶囊, ￥9,,,效期：2022年04月
