cj,gg,name,price,price2,xq
四川依科制药有限公司,100片,双氯芬酸钠肠溶片,￥0.99,≈￥0.93,效期：2021年11月
惠氏制药有限公司,600mg*60片,碳酸钙D3片(钙尔奇D),￥53.50,≈￥50.29,效期：2023年01月
四川光大制药有限公司,9g*8袋,抗病毒颗粒,￥13.80,≈￥12.97,效期：2022年01月
阿斯利康制药有限公司委托阿斯利康药业（中国）有限公司,25mg*20片/板/盒,酒石酸美托洛尔片(倍他乐克),￥6.19,≈￥5.82,效期：2022年02月
金诃藏药股份有限公司,3g*9袋,安儿宁颗粒,￥17.49,≈￥16.44,效期：2022年01月
重庆和平制药有限公司,100包,阿咖酚散(长盒),￥4.39,≈￥4.13,效期：2022年01月
拜耳医药保健有限公司委托拜耳医药保健有限公司启东分公司,0.5g*30片,铝碳酸镁咀嚼片(达喜),￥30,≈￥28.2,效期：2024年05月
贵州健兴药业有限公司,100ml,肺力咳合剂,￥23.50,≈￥22.09,效期：2022年06月
成都倍特药业有限公司,100mg*6片,头孢克肟分散片(特普宁),￥3.19,≈￥3,效期：2021年07月
药大制药有限公司,50mg*20粒,双氯芬酸钠缓释胶囊(英太青),￥17.30,≈￥16.26,效期：2021年11月
辉瑞制药有限公司,0.2g*6粒,塞来昔布胶囊(西乐葆),￥29.79,≈￥28,效期：2022年06月
上海罗氏制药有限公司,0.25g*40片,多巴丝肼片(美多芭),￥73.79,≈￥69.36,效期：2023年10月
辽宁上药好护士药业（集团）有限公司,0.32g*100片,乳癖消片(糖衣片),￥13,≈￥12.22,效期：2022年06月
北京嘉林药业股份有限公司,20mg*7片,阿托伐他汀钙片(阿乐),￥22.80,≈￥21.43,效期：2023年02月
江中药业股份有限公司,0.5g*36片/盒,健胃消食片(小儿江中),￥6.17,≈￥5.8,效期：2021年08月
四川彩虹制药有限公司,10ml*10支,藿香正气水,￥1.90,≈￥1.79,效期：2021年11月
安斯泰来制药（中国）有限公司,0.2mg*10粒,盐酸坦索罗辛缓释胶囊(哈乐),￥50,≈￥47,效期：2022年04月
桂林三金药业股份有限公司,3.5克*1瓶,桂林西瓜霜,￥10.64,≈￥10,效期：2022年12月
广州白云山医药集团股份有限公司白云山何济公制药厂,3ml*20瓶,风油精,￥1.80,≈￥1.69,效期：2021年05月
广州白云山医药集团股份有限公司白云山何济公制药厂,100包,阿咖酚散-白云山,￥10.20,≈￥9.59,效期：2021年06月
北京澳特舒尔保健品开发有限公司出品,62.5g(2.5g*20袋+12.5g),碧生源常菁茶,￥62,≈￥58.28,效期：2021年09月
北京澳特舒尔保健品开发有限公司出品,62.5g(2.5g*20袋+12.5g),碧生源常润茶,￥62,≈￥58.28,效期：2021年08月
中美上海施贵宝制药有限公司,0.5mg*7片,恩替卡韦片(博路定),￥138,≈￥129.72,效期：2022年09月
华润三九医药股份有限公司委托广东华润顺峰药业有限公司,20g/支,复方醋酸地塞米松乳膏(999皮炎平),￥7.90,≈￥7.43,效期：2022年08月
东阿阿胶股份有限公司,250g,阿胶,￥840,≈￥789.6,效期：2023年06月
UCB Pharma S.A.,0.5g*30片,左乙拉西坦片(开浦兰),￥194,≈￥182.36,效期：2022年06月
四川逢春制药有限公司,10g*20袋,小柴胡颗粒,￥6.90,≈￥6.49,效期：2021年10月
华润双鹤药业股份有限公司,30片/盒,复方利血平氨苯蝶啶片(降压0号),￥34.90,≈￥32.81,效期：2022年02月
江苏吉贝尔药业股份有限公司,20mg*24片*2板,利可君片,￥41,≈￥38.54,效期：2022年06月
滇虹药业集团股份有限公司,50ml,复方酮康唑发用洗剂(康王),￥26.50,≈￥24.91,效期：2021年10月
江苏恒瑞医药股份有限公司,40mg*7片/板*2板/盒（薄膜衣）,非布司他片,￥89,≈￥83.66,效期：2021年06月
宁波立华制药有限公司,12粒*3板,白芍总苷胶囊(帕夫林),￥33.60,≈￥31.58,效期：2021年10月
山西康宝生物制品股份有限公司,5mg*10片,非洛地平缓释片(康宝得维),￥9.20,≈￥8.65,效期：2022年11月
山东博士伦福瑞达制药有限公司,10ml,萘敏维滴眼液(红色润洁),￥12.48,≈￥11.73,效期：2022年01月
国药集团致君（深圳）制药有限公司,0.125g*12粒,头孢呋辛酯胶囊(达力新),￥5,≈￥4.7,效期：2022年10月
浙江京新药业股份有限公司,10mg*6片*2板/盒,瑞舒伐他汀钙片,￥25.80,≈￥24.25,效期：2022年01月
优时比（珠海）制药有限公司,0.15g/粒*10粒/盒,多糖铁复合物胶囊(力蜚能),￥28.70,≈￥26.98,效期：2022年07月
成都地奥制药集团有限公司,10mg：5mg*10片,氨氯地平贝那普利片（Ⅱ）,￥36,≈￥33.84,效期：2021年11月
西藏奇正藏药股份有限公司委托甘肃奇正藏药有限公司,1贴*5袋,消痛贴膏(OTC奇正),￥53.50,≈￥50.29,效期：2022年09月
四川新斯顿制药股份有限公司,0.24g*60片,盐酸氨基葡萄糖片(步迈新),￥50.30,≈￥47.28,效期：2021年08月
天津力生制药股份有限公司,2.5mg*30片,吲达帕胺片(寿比山/糖衣片),￥17.35,≈￥16.31,效期：2021年10月
山东达因海洋生物制药股份有限公司,维生素A1500单位、维生素D3 500单位*30粒,维生素AD滴剂(0-1岁)（伊可新）（胶囊型）,￥28.50,≈￥26.79,效期：2022年02月
上海玉瑞生物科技（安阳）药业有限公司,0.3g*100片,碳酸氢钠片,￥7.30,≈￥6.86,效期：2022年11月
乐泰药业有限公司,3ml*2瓶,复方聚维酮碘搽剂(亮甲),￥64,≈￥60.16,效期：2021年11月
新乡华青药业有限公司,2g,盐酸金霉素眼膏,￥3.65,≈￥3.43,效期：2021年10月
广东新峰药业股份有限公司,10g*9袋,感冒灵颗粒,￥4.90,≈￥4.61,效期：2022年04月
山东博士伦福瑞达制药有限公司,10ml,复方硫酸软骨素滴眼液(蓝色润洁),￥12.48,≈￥11.73,效期：2021年07月
云南云河药业股份有限公司,12粒*2板,龙血竭胶囊,￥6.20,≈￥5.83,效期：2024年07月
湖北虎泉药业有限公司,340ml,金银花露,￥3.70,≈￥3.48,效期：2022年03月
黑龙江葵花药业股份有限公司,10ml*6支,F小儿肺热咳喘口服液,￥24,≈￥22.56,效期：2022年10月
江西康美医药保健品有限公司,380ml,妇炎洁植物草本抑菌洗液,￥10.50,≈￥9.87,效期：2021年10月
台州南峰药业有限公司,5g*6袋,枣仁安神颗粒,￥15.70,≈￥14.76,效期：2021年10月
桂林三金药业股份有限公司,1.8g*16片,西瓜霜清咽含片,￥5.18,≈￥4.87,效期：2021年10月
京都念慈菴总厂有限公司,300ml,京都念慈菴蜜炼川贝枇杷膏,￥38,≈￥35.72,效期：2022年07月
华北制药股份有限公司,10片*2板,甲钴胺片(怡神保),￥5.50,≈￥5.17,效期：2022年03月
上海中华药业南通有限公司,12ml /瓶/盒,风油精,￥3.95,≈￥3.71,效期：2022年06月
广州诺金制药有限公司,0.5g*15s*2板,湿毒清片,￥8.10,≈￥7.61,效期：2021年08月
合肥华润神鹿药业有限公司,10g*6袋,温胃舒颗粒,￥11.80,≈￥11.09,效期：2022年10月
黑龙江葵花药业股份有限公司,0.35g*100片,F护肝片,￥23.50,≈￥22.09,效期：2022年09月
华北制药股份有限公司,10mg（1万单位）*12袋,硫酸庆大霉素颗粒(小儿利宝),￥2.65,≈￥2.49,效期：2022年01月
吉林省罗邦药业有限公司,10g*10袋,肺宁颗粒,￥7.20,≈￥6.77,效期：2022年10月
西安利君制药有限责任公司,0.125g*24片,琥乙红霉素片(利君沙),￥7.60,≈￥7.14,效期：2021年04月
黑龙江葵花药业股份有限公司,0.4g*24粒,胃康灵胶囊,￥15.15,≈￥14.24,效期：2022年09月
上海信谊延安药业有限公司,0.5ug*10粒*2板,阿法骨化醇软胶囊,￥14.80,≈￥13.91,效期：2021年07月
上海运佳黄浦制药有限公司,100ml,炉甘石洗剂,￥6.50,≈￥6.11,效期：2021年05月
海南先声药业有限公司,0.125g*24袋,阿莫西林颗粒(再林),￥12.80,≈￥12.03,效期：2021年12月
UCB Pharma S.A.生产 优时比（珠海）制药有限公司分包装,0.25g*30片,左乙拉西坦片(开浦兰),￥118,≈￥110.92,效期：2022年03月
参天制药(中国)有限公司,5ml:24.4mg,左氧氟沙星滴眼液(可乐必妥),￥28.30,≈￥26.6,效期：2022年03月
吉林道君药业股份有限公司,0.3g*20粒*2板/盒,壮阳春胶囊,￥7,≈￥6.58,效期：2022年06月
华润三九医药股份有限公司,0.45g*12粒*2板/盒,壮骨关节胶囊,￥16.50,≈￥15.51,效期：2021年08月
大连百利天华制药有限公司,10ml/支*6支/盒,转移因子口服溶液,￥6.80,≈￥6.39,效期：2021年12月
吉林省康福药业有限公司,9g*6袋,稚儿灵颗粒,￥4.50,≈￥4.23,效期：2022年08月
长春新安药业有限公司,20粒/袋*9袋/盒,止痛风湿丸,￥6.10,≈￥5.73,效期：2022年04月
湖南正清制药集团股份有限公司,20mg*24片,正清风痛宁片,￥7.40,≈￥6.96,效期：2021年06月
吉林省东北亚药业股份有限公司,25mg*12片*2板/盒,振源片,￥9.50,≈￥8.93,效期：2022年08月
苏州太湖美药业有限公司,10ml,珍珠明目滴眼液,￥3,≈￥2.82,效期：2022年01月
吉林省东北亚药业股份有限公司,0.25g*60片,珍菊降压片,￥5.10,≈￥4.79,效期：2022年10月
广州兆宝化妆品有限公司,400g,兆宝盈润美肤沐浴乳,￥20,≈￥18.8,效期：2022年08月
广州兆宝化妆品有限公司,400ml,兆宝深层营养洗发乳,￥25,≈￥23.5,效期：2022年10月
广州兆宝化妆品有限公司,400ml,兆宝深层营养护发乳,￥25,≈￥23.5,效期：2022年10月
四川省乐至贵均卫生材料有限公司,2.5cm*4贴/盒,晕车贴(来得快),￥4.60,≈￥4.32,效期：2022年11月
成都盛世同达贸易有限公司委托四川省乐至贵均卫生材料有限公司,4贴/盒,晕车贴,￥4,≈￥3.76,效期：2021年10月
甘肃陇神戎发药业股份有限公司,30丸*6袋,元胡止痛滴丸,￥18,≈￥16.92,效期：2021年11月
江苏云阳集团药业有限公司,12片,愈美片,￥4.20,≈￥3.95,效期：2021年10月
四川森科制药有限公司（原成都森科制药有限公司）,5g*50袋,愈酚喷托异丙嗪颗粒(伤风止咳颗粒),￥12.60,≈￥11.84,效期：2021年05月
国药集团广东环球制药有限公司,5g*15袋,玉屏风颗粒,￥17.50,≈￥16.45,效期：2022年09月
康臣药业（内蒙古）有限责任公司,5ml：25mg*5支,右旋糖酐铁口服液,￥15,≈￥14.1,效期：2021年07月
史达德药业(北京)有限公司,120ml,右美沙芬愈创甘油醚糖浆(史达功)(史达功),￥16.80,≈￥15.79,效期：2021年08月
山西汾河制药有限公司,25mg*100粒,吲哚美辛胶囊,￥2.30,≈￥2.16,效期：2022年10月
珠海润都制药股份有限公司,2.5mg*30粒/盒,吲达帕胺胶囊(玺福康),￥4.30,≈￥4.04,效期：2021年04月
西安博爱制药有限责任公司,4g*10袋/*盒,银黄颗粒,￥3.30,≈￥3.1,效期：2022年02月
四川国康药业有限公司（受托方：四川利君精华制药股份有限公司）,3g*10袋,茵山莲颗粒(无糖型),￥6.60,≈￥6.2,效期：2021年06月
江西桔王药业有限公司,15g/袋*9袋/盒,益母草颗粒,￥4.30,≈￥4.04,效期：2021年10月
石药集团欧意药业有限公司,0.1g*24粒,乙酰螺旋霉素片,￥4.60,≈￥4.32,效期：2021年08月
济南胜胜药业有限公司,1+2片/袋*2袋/盒,医用退热贴(小葵花),￥8.50,≈￥7.99,效期：2022年09月
东莞市紫欣医疗器械科技有限公司,（ZX1140J）1贴/袋*4袋/盒,医用降温贴,￥7,≈￥6.58,效期：2022年08月
四川省伊洁士医疗科技有限公司,平面挂耳式*50只/包,一次性使用医用口罩,￥2,≈￥1.88,效期：2020年10月
广西泰诺制药有限公司,0.42g/片*100片/瓶/盒,野木瓜片,￥5.30,≈￥4.98,效期：2021年11月
吉林道君药业股份有限公司,18片*2板,野马追片,￥11.80,≈￥11.09,效期：2022年01月
哈尔滨天地药业有限公司,0.3g*10粒/板*3板/盒,腰息痛胶囊,￥3.90,≈￥3.67,效期：2022年09月
湖北康正药业有限公司,10g/支/盒,氧氟沙星凝胶,￥4.30,≈￥4.04,效期：2020年11月
武汉诺安药业有限公司,8ml：24mg,氧氟沙星滴眼液,￥2.20,≈￥2.07,效期：2021年06月
亚邦医药股份有限公司,5ml:15mg,盐酸左氧氟沙星滴眼液,￥2.65,≈￥2.49,效期：2021年09月
重庆华邦制药有限公司,5mg*15片,盐酸左西替利嗪片(迪皿),￥19.62,≈￥18.44,效期：2021年10月
浙江震元制药有限公司,90.65mg*8袋,盐酸头孢他美酯干混悬剂,￥7.20,≈￥6.77,效期：2021年07月
湖南绅泰春药业有限公司,2mg*14片/盒,盐酸特拉唑嗪片(绅泰春),￥3.10,≈￥2.91,效期：2021年04月
湖北潜江制药股份有限公司,8ml:8mg,盐酸羟苄唑滴眼液,￥4.80,≈￥4.51,效期：2021年07月
瀚晖制药有限公司,100mg*10粒,盐酸米诺环素胶囊,￥43,≈￥40.42,效期：2021年06月
辽源市百康药业有限责任公司,10mg*100片,盐酸氯哌丁片,￥6.40,≈￥6.02,效期：2022年10月
辰欣佛都药业（汶上）有限公司,0.5%：2g,盐酸金霉素眼膏,￥3.30,≈￥3.1,效期：2023年11月
亚宝药业集团股份有限公司,5mg*30粒,盐酸氟桂利嗪胶囊,￥6,≈￥5.64,效期：2022年12月
成都恒瑞制药有限公司,10粒*2板,盐酸二甲双胍缓释片,￥9.90,≈￥9.31,效期：2021年08月
河北东风药业有限公司,0.1g*12片,盐酸多西环素片,￥2.60,≈￥2.44,效期：2022年10月
安徽环球药业股份有限公司,25ug*8片*5板,盐酸丙卡特罗片(可朋),￥9.70,≈￥9.12,效期：2021年11月
江苏汉晨药业有限公司,40ml,盐酸丙卡特罗口服溶液,￥8,≈￥7.52,效期：2021年06月
石药集团远大（大连）制药有限公司,15mg*7片*4板,盐酸吡格列酮片,￥19.50,≈￥18.33,效期：2022年06月
上海新亚药业闵行有限公司,10mg*14片,盐酸贝那普利片(新亚富舒),￥16.50,≈￥15.51,效期：2021年11月
黑龙江中桂制药有限公司,10ml*15支,盐酸氨溴索口服溶液(瑞田),￥6,≈￥5.64,效期：2021年07月
哈尔滨市龙生北药生物工程股份有限公司,120ml,盐酸氨溴索口服溶液,￥5.80,≈￥5.45,效期：2021年05月
四川绿叶制药股份有限公司,240mg*45片,盐酸氨基葡萄糖片,￥16.50,≈￥15.51,效期：2021年03月
吉林天药本草堂制药有限公司,0.3g*12片*2板,炎热清片,￥4.40,≈￥4.14,效期：2022年12月
吉林龙鑫药业有限公司,10g/袋*7袋/盒,荨麻疹丸(久金),￥8,≈￥7.52,效期：2022年04月
江苏红瑞制药有限公司,0.25g（含三七总皂苷50mg）*27片,血塞通分散片,￥11.50,≈￥10.81,效期：2021年09月
潍坊中狮制药有限公司,0.4*60/瓶/盒,血府逐瘀片（薄膜衣）,￥23.80,≈￥22.37,效期：2022年03月
商丘市金马药业有限公司,125g/瓶/盒,雪梨膏,￥3.30,≈￥3.1,效期：2022年04月
四川同人泰药业股份有限公司,10g*20袋,玄麦甘桔颗粒,￥5.50,≈￥5.17,效期：2021年04月
云南傣药有限公司,5ml,熊胆滴眼液,￥8.60,≈￥8.08,效期：2020年12月
四川琦云药业有限责任公司,3g/袋*6袋/盒,辛夷鼻炎丸,￥7,≈￥6.58,效期：2022年10月
杭州默沙东制药有限公司,20mg*7片,辛伐他汀片(舒降之),￥19.50,≈￥18.33,效期：2021年10月
浙江英格莱制药有限公司,80mg*12.5mg*7片,缬沙坦氢氯噻嗪片,￥6.50,≈￥6.11,效期：2022年01月
四川省天基生物药业有限公司,0.3g*8粒,小金胶囊,￥12.50,≈￥11.75,效期：2021年10月
广西一力桂西制药有限公司,100ml,小儿止咳糖浆,￥7.80,≈￥7.33,效期：2021年08月
山西澳迩药业有限公司,8g*6袋,小儿咽扁颗粒(殊欣),￥3.50,≈￥3.29,效期：2021年11月
鲁南厚普制药有限公司,10ml*10支,小儿消积止咳口服液,￥36.40,≈￥34.22,效期：2022年04月
陕西华西制药股份有限公司,6g*9袋/盒,小儿清咽颗粒,￥7.50,≈￥7.05,效期：2021年08月
广州王老吉药业股份有限公司,7g*10袋,小儿七星茶颗粒,￥13.30,≈￥12.5,效期：2022年11月
云南楚雄云中制药有限责任公司,2.5g*12袋,小儿麻甘颗粒,￥2.75,≈￥2.59,效期：2022年09月
吉林市双士药业有限公司,10ml*6支,小儿咳喘灵口服液,￥4.40,≈￥4.14,效期：2023年01月
山东明仁福瑞达制药股份有限公司,2g*8袋,小儿解感颗粒,￥9.50,≈￥8.93,效期：2022年12月
长春人民药业集团有限公司,2g*18袋/盒,小儿肺咳颗粒,￥24,≈￥22.56,效期：2022年09月
长春人民药业集团有限公司,0.17g*16片*3板/盒（薄膜衣）,小儿导赤片,￥4.30,≈￥4.04,效期：2023年01月
温州海鹤药业有限公司,5g*10袋,小儿肠胃康颗粒,￥13.10,≈￥12.31,效期：2022年10月
哈药集团制药六厂,12袋,小儿氨酚黄那敏颗粒(护彤),￥7.80,≈￥7.33,效期：2021年10月
广西纯正堂制药有限公司,6g*10袋,小儿氨酚黄那敏颗粒,￥2.30,≈￥2.16,效期：2021年05月
四川大千药业有限公司,10g*20袋,小柴胡颗粒,￥6.60,≈￥6.2,效期：2021年12月
湖南九典制药有限公司,0.25g*3片/盒,硝呋太尔阴道片(片刻清),￥10,≈￥9.4,效期：2022年04月
烟台鲁银药业有限公司,0.2g*10片,硝呋太尔片,￥12.80,≈￥12.03,效期：2021年09月
湖南华纳大药厂股份有限公司,10mg*15片*4板,硝苯地平缓释片(欣美平),￥9,≈￥8.46,效期：2022年09月
广东粤威制药有限公司,7cm*10cm*3片/袋*2袋/盒,消炎镇痛膏,￥3.90,≈￥3.67,效期：2022年03月
三门峡赛诺维制药有限公司,0.2g*24粒,消栓肠溶胶囊(消栓胶囊（肠溶）),￥41,≈￥38.54,效期：2021年10月
吉林春柏药业股份有限公司,0.35g*12粒*3板,消咳喘胶囊,￥6.70,≈￥6.3,效期：2021年12月
河北金牛原大药业科技有限公司,6g*10袋/盒,逍遥丸,￥12,≈￥11.28,效期：2021年11月
河南省济源市济世药业有限公司,360丸/瓶/盒,香砂养胃丸(浓缩丸),￥10,≈￥9.4,效期：2024年05月
大理白族自治州中药制药有限公司,0.6g*15片*2板,香连化滞片,￥6.10,≈￥5.73,效期：2023年01月
四川省三星堆制药有限公司,10g*21袋/包,夏桑菊颗粒,￥4.70,≈￥4.42,效期：2020年12月
广西药用植物园制药厂,10g*20袋,夏桑菊颗粒,￥6.20,≈￥5.83,效期：2022年03月
成都锦华药业有限责任公司,0.2g*60粒,西咪替丁胶囊,￥9,≈￥8.46,效期：2023年08月
成都天台山制药有限公司,0.2g*60粒,西咪替丁胶囊,￥8.60,≈￥8.08,效期：2021年10月
国药集团容生制药有限公司,1.5mg*24片,西地碘含片,￥2,≈￥1.88,效期：2021年11月
拜耳医药保健有限公司广州分公司,1mg*21片,戊酸雌二醇片(补佳乐),￥28,≈￥26.32,效期：2024年05月
江西省芙蓉堂药业股份有限公司,6g*8袋/盒,五淋丸,￥10,≈￥9.4,效期：2021年03月
西施兰（南阳）药业股份有限公司,10ml：4g,乌洛托品溶液(西施兰),￥7,≈￥6.58,效期：2022年01月
云南铭鼎药业有限公司,0.4g*12粒/板*2板/盒,胃康灵胶囊,￥3.70,≈￥3.48,效期：2021年08月
亚宝药业集团股份有限公司,1g*15片*10支,维生素C泡腾片,￥17.80,≈￥16.73,效期：2022年02月
湖北科伦药业有限公司,2ml：0.1g/支,维生素B6注射液,￥7.70,≈￥7.24,效期：2021年03月
山西汾河制药有限公司,10mg*100片,维生素B1片,￥1.30,≈￥1.22,效期：2021年12月
山西利丰华瑞制药有限责任公司,25ug*100片,维生素B12片,￥1.05,≈￥0.99,效期：2021年09月
大连水产药业有限公司,VA2000：VD700*10粒/板*6板/盒,维生素AD滴剂,￥12,≈￥11.28,效期：2021年05月
大连水产药业有限公司,VA1500：VD500*10粒*6板/盒,维生素AD滴剂,￥12,≈￥11.28,效期：2021年05月
重庆华邦制药有限公司,15g,维胺酯维E乳膏,￥9.50,≈￥8.93,效期：2021年09月
修正药业集团股份有限公司,16粒,维U颠茄铝胶囊II(斯达舒),￥15.15,≈￥14.24,效期：2021年12月
重庆华邦制药有限公司,0.025%：15g,维A酸乳膏,￥10,≈￥9.4,效期：2021年11月
辽宁上药好护士药业（集团）有限公司,0.5g*48片,尪痹片,￥30.50,≈￥28.67,效期：2022年10月
成都倍特药业有限公司,50mg*6袋,头孢克肟颗粒(特普宁),￥2.60,≈￥2.44,效期：2022年07月
海南日中天制药有限公司,0.1g*9粒*2板,头孢克肟胶囊,￥9.50,≈￥8.93,效期：2021年09月
广东华南药业集团有限公司,100mg*12片/盒,头孢克肟分散片(先强严灵),￥6,≈￥5.64,效期：2022年01月
金鸿药业股份有限公司,200mg*10片/盒,头孢克肟分散片,￥13.50,≈￥12.69,效期：2022年01月
深圳立健药业有限公司,0.125g*6袋,头孢克洛颗粒,￥3.60,≈￥3.38,效期：2020年11月
山东淄博新达制药有限公司,0.375g*6片/盒,头孢克洛缓释片,￥9,≈￥8.46,效期：2021年11月
海南日中天制药有限公司,0.1g*7片,头孢地尼分散片,￥12,≈￥11.28,效期：2021年11月
重庆迪康长江制药有限公司,50mg*20粒,酮洛芬肠溶胶囊,￥5.50,≈￥5.17,效期：2021年05月
成都迪康药业股份有限公司,2g*9袋,通窍鼻炎颗粒,￥10.60,,效期：2022年01月
广州白云山中一药业有限公司,0.36g*12片*4板/盒（薄膜衣）,调经益母片 (薄膜衣）,￥7.40,≈￥6.96,效期：2022年08月
广州诺金制药有限公司,0.4g*24粒,田七痛经胶囊,￥4.60,≈￥4.32,效期：2021年09月
广东罗浮山国药股份有限公司,100片,天麻片,￥4.70,≈￥4.42,效期：2020年12月
通化利民药业有限责任公司,0.25g*12粒/板*4板/盒,天麻胶囊,￥3.80,≈￥3.57,效期：2021年03月
长春万德制药有限公司,0.62g*27片,糖尿乐片,￥4.10,≈￥3.85,效期：2022年12月
珠海同源药业有限公司,0.3g*130片/瓶/盒,碳酸钙片,￥7,≈￥6.58,效期：2020年12月
北京康远制药有限公司,3g*6袋,碳酸钙D3颗粒,￥13.50,≈￥12.69,效期：2021年01月
四川泰乐制药有限公司,0.3g*12粒*2板/盒,速效止泻胶囊,￥9,≈￥8.46,效期：2021年03月
