cj,gg,name,price,price2,券后价,xq
华润三九(北京)药业有限公司,规格：6g*10袋,小儿氨酚黄那敏颗粒,,￥7.20,,效期： 2021-09-30 
悦康药业集团有限公司,规格：0.5g*30片,盐酸二甲双胍缓释片,4.8,,4.42,效期： 2021-04-30 
江中药业股份有限公司,规格：0.5g*12片*3板,健胃消食片(小儿),7.2,,6.63,效期： 2021-07-31 
广东新峰药业股份有限公司,规格：60片,鼻舒适片,,￥2.70,,效期： 2022-12-31 
云南植物药业有限公司,规格：0.5mg*20片,秋水仙碱片,4.1,,3.77,效期： 2022-11-27 
万特制药(海南)有限公司,规格：10mg*6片,氯雷他定片,1.4,,1.29,效期： 2022-11-30 
广州白云山医药集团股份有限公司白云山制药总厂,规格：30粒,咳特灵胶囊,,￥7.99,,效期： 2021-10-31 
四川美大康华康药业有限公司,规格：8ml:20mg,氯霉素滴眼液(精),1.55,,1.43,效期： 2021-04-11 
漳州无极药业有限公司,规格：10g,复方倍氯米松樟脑乳膏(无极膏),3.9,,3.59,效期： 2022-05-31 
山东裕欣药业有限公司(原山东罗欣药业集团,规格：30mg*20片,盐酸氨溴索片(基药),2.1,,1.93,效期： 2021-10-28 
天津中新药业集团股份有限公司第六中药厂,规格：60粒/瓶*2瓶,速效救心丸,,￥28.20,,效期： 2021-08-31 
福元药业有限公司,规格：20ml,开塞露(甘油)(带盖),0.48,,0.44,效期： 2022-11-30 
西南药业股份有限公司,规格：0.25g*50粒,阿莫西林胶囊,,￥3.50,,效期： 2021-09-30 
广州白云山星群（药业）股份有限公司,规格：0.25ug*20粒,阿法骨化醇软胶囊,9.5,,8.74,效期： 2021-10-31 
成都地奥制药集团有限公司,规格：100mg*10粒*2板,地奥心血康胶囊,11.9,,10.95,效期： 2021-11-04 
广西济民制药有限公司(原广西济民制药厂）,规格：10g*9袋,感冒灵颗粒,5.1,,4.69,效期： 2021-11-30 
云南明镜亨利制药有限公司,规格：30mg*100片,复方黄连素片,7,,6.44,效期： 2020-12-31 
河北长天药业有限公司,规格：50袋,复方氨酚那敏颗粒(速冲),,￥14.00,,效期： 2021-10-31 
华润三九医药股份有限公司委托惠州市九惠制药股份有限公司,规格：10g*9袋/盒,感冒灵颗粒,,￥11.35,10.45,效期： 2021-12-31 
北京长城制药有限公司（原北京长城制药厂）,规格：6g*10袋,小儿清肺化痰颗粒,,￥9.80,,效期： 2022-08-31 
四川川大华西药业股份有限公司,规格：2g*12袋,通窍鼻炎颗粒,8.5,,7.82,效期： 2021-11-30 
云南白药集团股份有限公司,规格：4g*6瓶,云南白药,,￥83.00,,效期： 2023-10-31 
哈药集团制药总厂,规格：0.25g*50粒,阿莫西林胶囊,,￥5.20,,效期： 2022-05-31 
黑龙江中桂制药有限公司,规格：10ml*15支（成人）,(基)盐酸氨溴索口服溶液,6.3,,5.8,效期： 2021-12-06 
万全万特制药（厦门）有限公司,规格：10mg*6片,氯雷他定片(拜敏),1.5,,1.38,效期： 2023-01-31 
四川制药制剂有限公司,规格：0.1g*12片,乙酰螺旋霉素片,1.55,,1.43,效期： 2023-01-31 
吉林省罗邦药业有限公司,规格：10g*10袋,肺宁颗粒(返魂草颗粒),7.5,,6.9,效期： 2022-10-31 
山东达因海洋生物制药股份有限公司,规格：A2000单位*30粒,维生素AD滴剂(伊可新1岁以上),,￥29.30,,效期： 2022-03-31 
广东一片天医药集团制药有限公司,规格：30粒,咳特灵胶囊,4.6,,,效期： 2021-11-15 
浙江仙琚制药股份有限公司,规格：0.75mg*100片,醋酸地塞米松片,4.3,,3.96,效期： 2022-09-30 
地奥集团成都药业股份有限公司,规格：8mg*1000片,盐酸溴己新片(必嗽平),,￥51.20,,效期： 2022-07-31 
四川依科制药有限公司(原四川蜀中制药有限,规格：100片,多酶片,,￥5.50,,效期： 2021-10-31 
广州迈特兴华制药厂有限公司,规格：0.1g*24片,茶碱缓释片,4.3,,3.96,效期： 2021-11-30 
四川逢春制药有限公司,规格：10g*20袋,玄麦甘桔颗粒(直立袋),5.5,,5.06,效期： 2021-12-31 
四川同人泰药业股份有限公司,规格：20g*10袋,辛芩颗粒,,￥8.20,,效期： 2022-10-31 
苏州太湖美药业有限公司,规格：8ml,珍珠明目滴眼液,2,,1.84,效期： 2021-09-15 
阿斯利康制药有限公司委托阿斯利康药业(中国）有限公司,规格：25mg*20片,酒石酸美托洛尔片(倍他乐克),6.8,,6.26,效期： 2022-11-30 
广西正堂药业有限责任公司,规格：24片,清火栀麦片,0.99,,0.91,效期： 2021-11-30 
广东一片天医药集团制药有限公司,规格：0.22g*100片,感冒清片,,￥6.30,5.8,效期： 2021-12-10 
四川科伦药业股份有限公司(原四川珍珠制药),规格：0.1g*12粒*2板,诺氟沙星胶囊,1.5,,1.38,效期： 2023-01-15 
江西和盈药业有限公司,规格：150ml,川贝枇杷糖浆,6,,5.52,效期： 2021-04-30 
四川同人泰药业股份有限公司,规格：20g*10袋,辛芩颗粒,,￥8.60,7.91,效期： 2022-10-31 
山西澳迩药业有限公司,规格：7.5g*12袋,一清颗粒,,￥3.98,,效期： 2022-01-31 
中美天津史克制药有限公司,规格：0.3g*10粒*2板,布洛芬缓释胶囊(芬必得),,￥16.50,,效期： 2022-12-31 
国药集团致君(深圳)坪山制药有限公司,规格：0.1g*12片,双氯芬酸钠缓释片,,￥3.80,,效期： 2023-02-28 
广东一片天医药集团制药有限公司,规格：0.22g*100片,感冒清片,6.3,,5.8,效期： 2021-12-10 
重庆科瑞制药(集团)有限公司,规格：0.25g*50粒,阿莫西林胶囊,,￥3.85,,效期： 2022-04-30 
西南药业股份有限公司,规格：5mg*1000片,醋酸泼尼松片,19.9,,18.31,效期： 2022-11-30 
华中药业股份有限公司,规格：10mg*1000片,维生素B6片,,￥17.50,,效期： 2022-08-31 
广东恒诚制药股份有限公司（原广东恒诚制药有限公司）,规格：3ml,风油精,,￥0.99,,效期： 2021-06-30 
重庆科瑞制药(集团)有限公司委托重庆科瑞东和制药有限责任公司,规格：10g*20袋,金钱草颗粒(直立袋),,￥14.80,,效期： 2021-11-30 
四川天府康达药业集团府庆制药有限公司（原四川省府庆制药有限公司）,规格：10ml*10支,藿香正气水,2.28,,2.1,效期： 2021-12-31 
辰欣佛都药业(汶上）有限公司,规格：0.5%*2g/支,红霉素眼膏,,￥3.40,3.13,效期： 2025-02-28 
深圳太太药业有限公司,规格：0.3mg*5片,醋酸地塞米松口腔贴片,,￥16.80,,效期： 2021-07-31 
京都念慈菴总厂有限公司,规格：150ml,京都念慈菴蜜炼川贝枇杷膏,,￥22.00,,效期： 2022-01-31 
四川依科制药有限公司,规格：15g*10袋,益母草颗粒,3.5,,3.22,效期： 2021-09-30 
中美天津史克制药有限公司,规格：0.2g*10片,阿苯达唑片,,￥10.30,,效期： 2023-10-31 
九寨沟天然药业股份有限公司（原九寨沟天然药业集团有限责任公司）,规格：10贴,麝香壮骨膏,3.8,,3.5,效期： 2022-05-31 
施慧达药业集团（吉林）有限公司,规格：2.5mg*14片,苯磺酸左氨氯地平片(施慧达),,￥25.80,,效期： 2023-02-28 
西安杨森制药有限公司,规格：10mg*30片,吗丁啉/多潘立酮片,19.5,,,效期： 2024-07-31 
新乡市常乐制药有限责任公司,规格：0.75mg*100片,醋酸地塞米松片,1.15,,1.06,效期： 2022-11-30 
亚宝药业集团股份有限公司委托北京亚宝生物药业有限公司,规格：10mg*30片,硝苯地平缓释片(Ⅰ),5.7,,5.25,效期： 2021-11-30 
杭州康恩贝制药有限公司,规格：0.2mg*7粒,盐酸坦索罗辛缓释胶囊,14.05,,12.93,效期： 2022-11-30 
华润紫竹药业有限公司,规格：1.5mg*1片,金毓婷/左炔诺孕酮片,12.5,,11.5,效期： 2024-10-15 
华润双鹤药业股份有限公司（原北京双鹤药业有限公司）,规格：10片,复方利血平氨苯蝶啶片,12,,11.04,效期： 2021-11-06 
山东鲁抗医药股份有限公司,规格：0.25g*12粒*2板,头孢拉定胶囊,3.85,,3.54,效期： 2021-10-31 
广州白云山医药集团股份有限公司白云山制药总厂,规格：30粒,咳特灵胶囊,,￥8.30,7.64,效期： 2021-10-31 
上海现代制药股份有限公司,规格：5mg*10片,非那雄胺片,5.7,,5.25,效期： 2022-11-30 
山东鲁抗医药股份有限公司,规格：0.25g*10粒*5板,阿莫西林胶囊,3.85,,3.54,效期： 2022-10-31 
江中药业股份有限公司,规格：48片*0.44g(小片),复方草珊瑚含片,5.8,,5.34,效期： 2021-07-31 
湖北科伦药业有限公司,规格：20ml:10g,葡萄糖注射液(50％)(塑管),,￥0.88,,效期： 2021-12-31 
亚宝药业集团股份有限公司,规格：1.6g*2贴,丁桂儿脐贴(宝宝一贴灵),11.95,,11,效期： 2021-06-30 
山东达因海洋生物制药股份有限公司,规格：A1500单位*30粒,维生素AD滴剂(伊可新0-1岁),,￥29.30,,效期： 2022-03-31 
云南白药集团股份有限公司,规格：30g:85g,云南白药气雾剂,29.5,,27.15,效期： 2022-10-31 
上海玉瑞生物科技（安阳）药业有限公司,规格：10mg*100片,谷维素片,9.8,,9.02,效期： 2021-10-31 
山西澳迩药业有限公司,规格：8g*6袋,小儿咽扁颗粒,3.75,,3.45,效期： 2021-11-30 
四川省通园制药集团有限公司,规格：30ml*8支,鲜竹沥,3.1,,2.85,效期： 2021-08-31 
广西泰诺制药有限公司,规格：0.42g*100片,野木瓜片,5.5,,5.06,效期： 2021-10-31 
湖北科伦药业有限公司,规格：20ml:10g,葡萄糖注射液(50％)(塑管),,￥1.00,0.92,效期： 2021-12-31 
石家庄以岭药业股份有限公司,规格：0.35g*24粒,连花清瘟胶囊(YD),11,,10.12,效期： 2022-07-31 
山东罗欣药业集团股份有限公司,规格：20mg*14粒,奥美拉唑肠溶胶囊,1.7,,1.56,效期： 2021-10-25 
山西太原药业有限公司,规格：0.1g*100片,氨茶碱片,,￥3.50,,效期： 2021-10-17 
江苏迪赛诺制药有限公司,规格：0.5mg*10片*2板,甲钴胺片,4.24,,3.9,效期： 2022-01-31 
成都恒瑞制药有限公司,规格：10mg*8片,盐酸西替利嗪片(比特力),3.5,,3.22,效期： 2021-11-09 
四川大冢制药有限公司,规格：5mg*5片,孟鲁司特钠咀嚼片,,￥25.50,,效期： 2021-11-21 
广州诺金制药有限公司,规格：0.5g*30片,湿毒清片,9,,8.28,效期： 2021-12-31 
亚宝药业集团股份有限公司委托亚宝药业太原制药有限公司,规格：5mg*24片,枸橼酸莫沙必利片,,￥7.50,,效期： 2021-08-31 
贵州健兴药业有限公司,规格：100ml,肺力咳合剂,23.8,,21.9,效期： 2022-05-04 
广东罗浮山国药股份有限公司,规格：30粒,咳特灵胶囊,4.15,,,效期： 2022-05-04 
广东罗浮山国药股份有限公司,规格：100片,咳特灵片(精),4.7,,,效期： 2022-05-13 
国药集团三益药业(芜湖)有限公司(原芜湖三,规格：20ml,复方醋酸氟轻松酊(皮炎宁酊),9.3,,8.56,效期： 2021-11-30 
山西津华晖星制药有限公司,规格：0.1g*1000片,盐酸吗啉胍片,39.5,,36.35,效期： 2021-11-30 
石家庄康力药业有限公司,规格：25mg*100片,阿司匹林肠溶片,0.95,,0.87,效期： 2021-10-31 
安徽环球药业股份有限公司,规格：5ml:15mg,氧氟沙星滴耳液,1.4,,1.29,效期： 2021-11-28 
西南药业股份有限公司,规格：25mg*1000片,枸橼酸喷托维林片(咳必清),,￥86.50,,效期： 2021-01-31 
西安杨森制药有限公司,规格：20g:2%*1支,硝酸咪康唑乳膏(达克宁),18.5,,,效期： 2024-02-28 
南通薄荷厂有限公司,规格：3g,清凉油,,￥0.80,,效期： 2022-03-31 
山东博士伦福瑞达制药有限公司,规格：10ml,萘敏维滴眼液(润洁红),13.2,,12.15,效期： 2022-01-11 
四川科伦药业股份有限公司,规格：0.1g*6片,盐酸左氧氟沙星片,0.6,,0.55,效期： 2021-10-21 
苏州弘森药业股份有限公司,规格：1mg*60片,富马酸酮替芬片,1.85,,1.7,效期： 2023-01-31 
杭州民生药业有限公司,规格：5mg*100片,消旋山莨菪碱片(654-2),12.95,,11.92,效期： 2021-04-30 
浙江诚意药业股份有限公司委托山西同达药业有限公司,规格：0.24g*10粒*2板,盐酸氨基葡萄糖胶囊,8.5,,7.82,效期： 2021-12-31 
新乡华青药业有限公司,规格：0.5％*2g,盐酸金霉素眼膏,3.85,,3.54,效期： 2021-10-31 
广东恒诚制药股份有限公司（原广东恒诚制药有限公司）,规格：3ml,风油精,,￥1.29,1.19,效期： 2021-06-30 
江西保利制药有限公司,规格：6g*12袋,羚羊清肺颗粒,,￥12.00,,效期： 2021-12-12 
湖北仁悦药业股份有限公司,规格：0.26g*50片*30袋,三黄片,,￥31.50,,效期： 2022-10-31 
海南新世通制药有限公司,规格：5mg*6袋,氯雷他定颗粒,3.5,,3.22,效期： 2021-10-31 
亚宝药业集团股份有限公司委托亚宝药业太原制药有限公司,规格：0.5mg*20片,甲钴胺片,4.6,,4.23,效期： 2021-08-31 
福元药业有限公司原福元药业股份有限公原安徽新和成皖南药业有限公司,规格：10g,红霉素软膏,1.4,,1.29,效期： 2025-02-28 
上海玉瑞生物科技（安阳)药业有限公司,规格：0.3g*100片,碳酸氢钠片,8,,7.36,效期： 2023-03-31 
桂林三金药业股份有限公司,规格：3.5g,桂林西瓜霜,11.6,,10.68,效期： 2022-12-16 
四川逢春制药有限公司,规格：15g*20袋,复方板蓝根颗粒(直立袋),6,,5.52,效期： 2022-01-31 
江苏联环药业股份有限公司,规格：10mg*7片,依巴斯汀片(苏迪),14.6,,13.44,效期： 2021-09-30 
杭州默沙东制药有限公司,规格：4mg*5片,孟鲁司特钠咀嚼片(顺尔宁),,￥27.50,,效期： 2021-09-22 
山西汾河制药有限公司,规格：45粒,维U颠茄铝胶囊Ⅲ(胃得宁),2.35,,2.16,效期： 2022-01-31 
江苏华神药业有限公司,规格：100ml,炉甘石洗剂,5.8,,5.34,效期： 2022-02-28 
长春海外制药集团有限公司,规格：0.3g*20粒,布洛芬缓释胶囊,,￥4.65,,效期： 2021-12-31 
九寨沟天然药业股份有限公司（原九寨沟天然药业集团有限责任公司）,规格：10cm*7cm*8贴,麝香壮骨膏,3.35,,3.08,效期： 2022-04-30 
云南白药集团无锡药业有限公司委托云南白药集团股份有限公司,规格：6.5cm*10cm*5贴,云南白药膏(打孔透气型),20,,18.41,效期： 2023-01-31 
四川省通园制药集团有限公司,规格：100ml,鲜竹沥,1.83,,1.68,效期： 2022-08-31 
西安杨森制药有限公司,规格：15g,曲安奈德益康唑乳膏(派瑞松),18.8,,,效期： 2021-12-31 
辉瑞制药有限公司,规格：20mg*7片,阿托伐他汀钙片(立普妥),45.5,,41.87,效期： 2022-06-30 
广东恒诚制药股份有限公司（原广东恒诚制药有限公司）,规格：8g*10袋,风寒感冒颗粒,6.4,,5.89,效期： 2022-01-31 
广州花城药业有限公司（原广州市花城制药厂）,规格：100片*含猴耳环干浸膏0.2g,猴耳环消炎片(糖衣片),,￥9.90,,效期： 2021-07-31 
湖北广济药业股份有限公司,规格：5mg*100片,维生素B2片,2.85,,2.62,效期： 2022-10-04 
江西康恩贝中药有限公司,规格：0.42g*24片,肠炎宁片,,￥14.80,,效期： 2021-09-30 
重庆迪康长江制药有限公司,规格：10粒*50板/盒,氨咖黄敏胶囊(速效感冒胶囊),0.76,,0.7,效期： 2021-09-17 
湖北广济药业股份有限公司,规格：5mg*1000片,维生素B2片,12.95,,11.92,效期： 2022-07-23 
绵阳一康制药有限公司,规格：20ml,开塞露(盒)(含甘油),0.64,,0.59,效期： 2022-01-31 
AstraZenecaPtyLtd,规格：1mg:2ml*5支,吸入用布地奈德混悬液(WS),,￥13.50,,效期： 2021-07-31 
广东罗浮山国药股份有限公司,规格：0.25g*100片,消炎利胆片,6.3,,5.8,效期： 2022-06-21 
黑龙江葵花药业股份有限公司,规格：0.4g*24粒,胃康灵胶囊,14.99,,13.8,效期： 2022-09-30 
广西玉林制药集团有限责任公司,规格：12ml,正骨水,8.1,,7.45,效期： 2022-03-31 
桂林三金药业股份有限公司,规格：0.6g*36片,西瓜霜润喉片,6.25,,5.75,效期： 2022-11-03 
四川依科制药有限公司(原四川蜀中制药有限公司）,规格：25mg*100片,双氯芬酸钠肠溶片,,￥1.60,1.47,效期： 2021-09-30 
四川森科制药有限公司,规格：100片,复方黄连素片,7.1,,6.53,效期： 2021-10-31 
重庆迪康长江制药有限公司,规格：0.5g*1000片,对乙酰氨基酚片,,￥35.00,,效期： 2022-03-24 
四川科伦药业股份有限公司,规格：0.3g*24粒,胆舒软胶囊,,￥5.10,4.69,效期： 2021-09-10 
吉林敖东集团力源制药股份有限公司,规格：0.35g*12粒*2板,断血流胶囊,5.5,,5.06,效期： 2022-12-31 
通化万通药业股份有限公司,规格：7cm*10cm*6贴,万通筋骨贴,13.45,,,效期： 2021-11-30 
浙江得恩德制药股份有限公司,规格：50mg*12粒*2板,胶体果胶铋胶囊,3.6,,3.31,效期： 2021-11-30 
河南福森药业有限公司,规格：12片*3板,三黄片,2.75,,2.53,效期： 2021-11-27 
修正药业集团股份有限公司,规格：16粒,维U颠茄铝胶囊II(斯达舒),15.8,,14.54,效期： 2022-08-31 
太极集团重庆桐君阁药厂有限公司,规格：6g*5袋,麻仁丸,5.25,,4.83,效期： 2022-11-30 
华润三九医药股份有限公司委托惠州市九惠制药股份有限公司,规格：6g*10袋,正天丸,13.5,,12.42,效期： 2022-05-31 
拜耳医药保健有限公司,规格：30mg*7片,硝苯地平控释片,38,,34.97,效期： 2022-08-08 
重庆科瑞制药(集团)有限公司,规格：0.3g*100片,陈香露白露片,6,,5.52,效期： 2021-11-30 
福元药业有限公司,规格：10g:3%,阿昔洛韦乳膏,1.1,,1.01,效期： 2022-02-28 
重庆迪康长江制药有限公司,规格：0.1g*12片,乙酰螺旋霉素片,1.15,,1.06,效期： 2021-11-26 
中美天津史克制药有限公司,规格：5g*2%,莫匹罗星软膏,13.75,,12.65,效期： 2021-11-30 
云南楚雄云中制药有限责任公司,规格：2.5g*12袋,小儿麻甘颗粒,2.7,,2.48,效期： 2022-12-31 
新乡华青药业有限公司,规格：0.5％:2g,红霉素眼膏,3.65,,3.36,效期： 2022-02-28 
北京斯利安药业有限公司,规格：0.4mg*31片,叶酸片,21.6,,19.88,效期： 2022-05-31 
延安制药股份有限公司（原延安常泰药业）,规格：10g*10袋,口炎清颗粒,8.5,,7.82,效期： 2022-07-31 
贵州百灵企业集团制药股份有限公司,规格：0.3g*24片*2板,黄连上清片,2.9,,2.67,效期： 2022-02-17 
贵州金桥药业有限公司,规格：250ml,珊瑚癣净,16.5,,15.19,效期： 2021-07-31 
四川蓉康世圣药业有限责任公司,规格：40支*40包,棉签,12.8,,11.78,效期： 2022-04-01 
颈复康药业集团有限公司,规格：0.3g*10粒*2板,腰痛宁胶囊,18.3,,16.84,效期： 2022-12-27 
四川逢春制药有限公司,规格：10g*20袋,夏桑菊颗粒(直立袋),,￥5.90,,效期： 2022-02-28 
石药集团中诺药业（石家庄）有限公司,规格：0.375g*12片,阿莫西林克拉维酸钾片,,￥7.80,,效期： 2021-12-12 
云南明镜亨利制药有限公司,规格：125mg*30片,复方岩白菜素片,4.3,,3.96,效期： 2021-08-31 
广州花城药业有限公司,规格：100片,复方感冒灵片,5.84,,,效期： 2021-08-31 
广西梧州制药(集团)股份有限公司,规格：6g*6丸,中华跌打丸,10.2,,9.39,效期： 2021-10-08 
华北制药股份有限公司,规格：10mg*12袋,硫酸庆大霉素颗粒(小儿利宝),2.9,,2.67,效期： 2022-01-31 
新乡市常乐制药有限责任公司,规格：0.1g*1000片,维生素C片,7.25,,6.67,效期： 2021-05-31 
广西昌弘制药有限公司,规格：0.5g*36片,双花草珊瑚含片,4,,3.68,效期： 2021-06-30 
扬州市三药制药有限公司,规格：25ml:0.5g*4瓶,布洛芬混悬液(恬倩),,￥10.20,,效期： 2022-02-28 
重庆迪康长江制药有限公司,规格：0.5g*100片,贝诺酯片,6.5,,5.98,效期： 2022-10-06 
四川科伦药业股份有限公司(原四川珍珠制药有限公司）,规格：20mg*14粒,奥美拉唑肠溶胶囊(基药),1.1,,1.01,效期： 2021-09-17 
广东新峰药业股份有限公司,规格：100片,抗骨增生片,2.75,,2.53,效期： 2023-01-31 
广州白云山明兴制药有限公司,规格：10g*10包,清开灵颗粒,12.5,,11.5,效期： 2021-11-30 
广东恒诚制药股份有限公司（原广东恒诚制药有限公司）,规格：0.22g*100片,感冒清片,4.9,,4.51,效期： 2022-08-31 
济南康友消毒用品厂,规格：0.2g*12片*2板,高锰酸钾消毒片,3.5,,3.22,效期： 2022-01-31 
杭州民生健康药业有限公司(原杭州赛诺菲民生健康药业有限公司）,规格：60片,多维元素片(21金维他),30.5,,28.07,效期： 2021-06-30 
天方药业有限公司,规格：0.1g*12片*30板,乙酰螺旋霉素片,,￥0.93,,效期： 2021-10-31 
四川依科制药有限公司(原四川蜀中制药有限公司）,规格：25mg*24片*20瓶,双氯芬酸钠肠溶片,12,,11.04,效期： 2021-11-30 
扬州一洋制药有限公司,规格：1.5g:15ml*12袋,铝镁加混悬液,,￥22.50,,效期： 2023-01-31 
四川好医生攀西药业有限责任公司,规格：5g*9袋,抗感颗粒(儿童装),18.4,,16.93,效期： 2022-01-26 
地奥集团成都药业股份有限公司,规格：24粒,复方谷氨酰胺肠溶胶囊,,￥26.50,,效期： 2021-11-30 
太极集团四川绵阳制药有限公司,规格：6g*50小袋,通宣理肺丸,28.1,,25.86,效期： 2021-07-31 
九寨沟天然药业集团有限责任公司委托四川逢春制药有限公司,规格：10g*20袋,玄麦甘桔颗粒,6.5,,5.98,效期： 2022-05-31 
中山市恒生药业有限公司,规格：0.3g*24片,消炎止咳片,,￥1.35,,效期： 2021-11-30 
江苏万高药业股份有限公司,规格：0.5g*12粒*2板,铝碳酸镁咀嚼片,,￥4.05,,效期： 2021-11-30 
九寨沟天然药业股份有限公司（原九寨沟天然药业集团有限责任公司）,规格：10g*20包,小柴胡颗粒,7.93,,7.3,效期： 2022-06-30 
